Transect	Point Number	May-93	Sep-93	May-94	Sep-94	May-95	Aug-95	May-96	Aug-96	May-97	Sep-97	May-98	Sep-98	May-99	Sep-99	 July-00	Aug-00	Jun-15	May-02	Jul-03	May-04	May-05	May-06	Jun-07	May-08	May-09	May-10	May-11	May-12	
ES	2	B	B	B	B	SMC	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
ES	3	SMC	SMC	B	SMC	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	HAL	HAL	HAL	HAL	ENDO	SV	
ES	4	SMC	SMC	B	B	SMC	SMC	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
ES	5	B	B	SMC	SMC	SMC	B	B	B	B	B	PP	B	B	B	B	X	B	B	B	B	B	B	B	SC	B	B	B	B	
ES	6	B	SMC	B	SMC	B	SMC	B	B	SMC	B	B	B	B	B	B	X	B	B	B	B	B	B	B	SC	B	B	B	B	
ES	7	B	B	SMC	SMC	SMC	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
ES	8	SMC	B	SMC	B	SMC	B	SMC	SMC	SMC	B	B	B	B	B	B	X	SMC	B	B	B	B	B	B	B	B	B	B	B	
ES	9	R	R	SMC	SMC	SMC	SMC	SMC	SMC	SMC	B	B	B	B	B	B	X	SMC	SMC	B	B	B	B	B	B	B	B	B	B	
ES	10	SMC	SC	SC	SMC	SC	SMC	SMC	SMC	SMC	B	B	B	B	B	B	X	SMC	SMC	B	B	B	B	PP	B	B	B	B	B	
ES	11	R	R	R	R	SC	BG	B	B	SMC	B	B	SMC	B	SMC	B	X	B	B	B	SMC	B	B	B	B	SMC	B	B	B	
ES	12	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	B	B	
ES	13	SMC	SMC	SMC	SMC	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
ES	14	SMC	SMC	SMC	SMC	B	SMC	SMC	B	SMC	B	B	B	B	B	B	X	SMC	B	B	B	B	B	B	B	B	B	B	B	
ES	15	MT	SMC	SMC	SMC	SMC	B	B	B	SMC	B	B	B	B	B	B	X	B	B	B	B	B	B	HAL	HAL	SMC	B	B	B	
ES	16	SMC	B	SMC	B	B	B	B	B	SMC	B	B	B	B	B	SMC	X	SMC	B	B	B	B	B	B	B	B	B	SMC	B	
ES	17	SMC	SMC	ANTHOE	SMC	B	SMC	B	B	B	B	B	B	B	B	B	X	SMC	B	B	B	B	B	B	B	B	B	B	B	
ES	18	SC	SMC	SMC	B	B	B	B	B	B	R	BG	B	B	B	B	X	B	B	B	B	B	B	B	B	B	SMC	B	B	
ES	19	SMC	B	SMC	SMC	B	B	B	SMC	PP	B	B	B	SMC	B	B	X	SMC	B	B	B	B	B	HAL	HAL	HAL	CV	B	B	
ES	20	SMC	B	SMC	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	SMC	HAL	HAL	PORPH	SMC	SMC	B	
ES	21	SMC	SMC	B	B	SMC	SMC	B	B	B	B	B	SMC	B	B	B	X	B	B	B	B	B	BG	R	HAL	PORPH	HAL	SMC	B	
